USD|9975.00|9675.00
SGD|8065.40|7965.40
HKD|1276.50|1260.80
CHF|10698.15|10343.15
GBP|15938.10|15400.10
AUD|10498.90|10143.90
JPY|111.63|107.29
SEK|1545.80|1485.50
DKK|1798.90|1725.70
CAD|10105.15|9750.15
EUR|13336.55|12906.55
SAR|2669.40|2570.40
NZD|8350.55|8040.55
CNY|1606.30|1555.60
remotelastupdate|18 Jan 2013 / 16:21 WIB
